gene	Blue_0h_R1	Blue_0h_R2	Blue_1h_R1	Blue_1h_R2	Blue_6h_dark_R1	Blue_6h_dark_R2	Blue_6h_R1	Blue_6h_R2	Red_0h_R1	Red_0h_R2	Red_1h_R1	Red_1h_R2	Red_6h_dark_R1	Red_6h_dark_R2	Red_6h_R1	Red_6h_R2	White_0h_R1	White_0h_R2	White_6h_dark_R1	White_6h_dark_R2	White_6h_R1	White_6h_R2
AT1G01010	1234	1365	2125	4090	1291	1786	1121	2662	1330	3018	2576	2500	1497	1443	1965	1864	1384	2292	1270	1895	1616	2036
AT1G01020	382	409	814	1141	453	574	640	1372	465	836	863	900	472	526	846	878	387	762	443	756	880	988
AT1G01030	108	104	78	170	121	123	117	276	119	88	146	182	94	115	117	207	60	211	96	168	73	107
AT1G01040	3217	3139	4088	9723	3625	4983	3960	7798	3455	5480	7136	7517	3322	3712	5486	5187	2711	6039	3343	5661	4286	5805
AT1G01046	110	78	114	235	128	109	87	128	117	153	226	184	94	93	130	118	78	172	111	149	54	94
AT1G01050	3178	2902	6140	8865	3471	3703	3587	8189	3088	3961	5683	5166	3026	2694	4293	4000	2709	5090	2674	4234	4428	5325
AT1G01060	2319	2908	10112	26045	3534	5913	990	2239	2144	3366	11656	11727	3043	2227	721	458	1994	5155	2383	3588	448	4782
AT1G01070	659	679	1048	2112	682	1098	816	1538	761	1282	1282	1074	798	803	1196	908	671	1251	631	1060	757	764
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	1130	879	2000	2381	1271	1154	3153	6662	810	736	1505	1417	705	680	3195	3758	757	1528	753	1513	3108	3152
AT1G01090	8256	10003	13693	28989	8504	13734	11786	28388	9858	13735	16395	16458	9287	9710	14764	15727	7395	18336	7578	15061	14987	17262
AT1G01100	3414	4018	7157	11671	3256	4956	4356	14297	3238	4865	6178	5805	3755	3715	6174	7362	2540	7024	2932	5268	7698	7214
AT1G01110	356	363	375	667	343	447	227	790	377	514	569	544	392	401	439	561	283	658	307	498	273	299
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	14796	11811	22146	41433	14151	16313	16392	30661	11746	23033	24263	22524	13235	11652	23495	18977	12853	20499	9726	15920	18981	24858
AT1G01130	91	74	141	254	83	101	87	227	38	116	139	173	76	90	109	203	54	124	66	114	117	142
AT1G01140	2065	1554	3628	5595	2085	2465	2111	4831	1647	3585	3249	3104	1735	1746	3244	3004	1731	2925	1366	2538	2228	3271
AT1G01150	2	3	2	17	5	2	3	4	2	7	7	10	2	2	1	5	2	6	2	0	9	8
AT1G01160	1221	1368	1866	3969	1214	2175	1339	3674	1306	2654	2585	2828	1495	1528	2254	2517	1068	2275	1134	2154	2183	2397
AT1G01170	1352	1460	2506	4446	1329	2003	1267	3767	1549	2081	2987	2973	1458	1558	1703	2127	1211	2886	1300	2237	1774	2529
AT1G01180	1136	1365	1798	3347	1107	1942	1334	3708	925	2652	2092	1847	1223	1117	2185	1829	925	2353	834	1695	2294	2634
AT1G01183	4	0	3	5	1	2	5	8	7	5	6	8	5	4	9	8	1	2	6	2	6	15
AT1G01190	119	607	145	2371	89	920	87	799	574	1124	1005	1191	651	706	744	964	292	1225	384	1277	298	404
AT1G01200	181	171	161	260	218	196	217	364	140	273	193	192	137	128	207	165	167	265	148	175	198	180
AT1G01210	246	274	499	875	301	462	388	1028	314	647	605	696	296	346	714	720	249	541	271	442	659	781
AT1G01220	1298	1107	1644	3189	1347	1593	2111	3988	1179	1730	2028	1926	1113	1194	2188	2324	1015	2061	1134	1837	2528	2885
AT1G01225	133	167	230	367	128	184	240	439	131	176	249	240	145	124	311	256	112	235	144	212	291	203
AT1G01230	1420	1370	2315	4046	1365	1809	1510	3525	1418	2545	2625	2371	1490	1507	2300	2210	1415	2641	1178	2226	2163	2513
AT1G01240	1069	1087	2009	3715	1091	1813	1367	3023	1157	1995	2427	2650	1272	1384	2262	2060	1062	2049	996	1997	1501	2145
AT1G01250	17	9	31	74	18	22	43	60	5	9	27	12	9	10	20	6	6	36	16	23	27	23
AT1G01260	1144	1217	1003	2325	1317	1816	1133	2533	1295	2099	1636	1644	1203	1505	1673	1696	1110	2292	1066	2110	1236	1432
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
