Locus	wtA	wtB	wtC								
AT1G01010	235	250	211								
AT1G01020	105	404	134								
AT1G01030	17	21	23								
AT1G01040	99	288	214								
AT1G01046	0	0	0								
AT1G01050	5478	6911	4190								
AT1G01060	1527	2960	1314								
AT1G01070	151	148	143								
AT1G01073	0	0	0								
AT1G01080	1810	4789	2117								
AT1G01090	3471	3594	3381								
AT1G01100	44335	69859	50908								
AT1G01110	96	184	131								
AT1G01115	0	0	0								
AT1G01120	10775	9576	7348								
AT1G01130	0	0	0								
AT1G01140	909	2126	1142								
AT1G01150	0	0	0								
AT1G01160	1881	3901	2150								
AT1G01170	4171	12096	6125								
AT1G01180	957	809	494								
AT1G01183	0	0	0								
AT1G01190	3	4	7								
AT1G01200	147	316	246								
AT1G01210	177	302	173								
AT1G01220	42	191	116								
AT1G01225	26	65	29								
AT1G01230	3773	4642	3281								
AT1G01240	1510	1840	1125								
AT1G01250	14	16	2								
AT1G01260	421	568	531								
AT1G01270	0	0	0								
AT1G01280	0	0	0								
AT1G01290	132	473	206								
AT1G01300	4264	6614	5489								
AT1G01305	0	0	0								
AT1G01310	2	8	1								
AT1G01320	2554	3519	2707								
AT1G01340	65	144	108								
AT1G01350	1410	2132	1272								
AT1G01355	0	4	0								
AT1G01360	1171	2003	1105								
AT1G01370	190	419	232								
AT1G01380	378	762	479								
AT1G01390	110	189	229								
AT1G01400	0	1	0								
AT1G01410	0	0	0								
AT1G01420	49	120	93								
AT1G01430	1262	1853	1211								
AT1G01440	65	112	40								
AT1G01448	81	433	143								
AT1G01450	0	0	0								
AT1G01453	18	18	6								
AT1G01460	0	0	0								
AT1G01470	1275	3238	2624								
AT1G01471	0	0	0								
AT1G01480	111	114	88								
AT1G01490	2728	5337	2753								
AT1G01500	250	503	274								
AT1G01510	1245	1862	1284								
AT1G01520	0	1	0								
AT1G01530	0	0	0								
AT1G01540	873	1451	840								
AT1G01550	5067	8737	8042								
AT1G01560	0	7	1								
AT1G01570	13	10	2								
AT1G01580	14	25	22								
AT1G01590	1	0	0								
AT1G01600	103	112	118								
AT1G01610	479	790	651								
AT1G01620	338579	232738	164246								
AT1G01630	287	417	253								
AT1G01640	113	76	65								
AT1G01650	312	930	360								
AT1G01660	1	8	1								
AT1G01670	0	2	3								
AT1G01680	4	4	0								
AT1G01690	12	37	21								
AT1G01695	2	9	1								
AT1G01700	1	9	5								
AT1G01710	25	35	30								
AT1G01720	541	1312	1128								
AT1G01725	0	0	0								
AT1G01730	189	278	172								
AT1G01740	0	2	0								
AT1G01750	1499	1473	974								
AT1G01760	2	7	3								
AT1G01770	582	1321	787								
AT1G01780	1092	1136	800								
AT1G01790	164	599	365								
AT1G01800	1200	2039	1267								
AT1G01810	22	49	14								
AT1G01820	1560	3228	1509								
AT1G01830	148	261	236								
AT1G01840	38	92	67								
AT1G01860	339	804	422								
AT1G01870	0	0	0								
AT1G01880	28	35	23								
AT1G01890	0	0	0								
AT1G01900	37	106	94								
AT1G01910	1740	2136	1514								
AT1G01920	142	567	242								
AT1G01930	43	65	36								
AT1G01940	625	1100	783								
AT1G01950	823	841	459								
AT1G01960	195	424	307								
AT1G01970	197	743	352								
AT1G01980	0	0	0								
AT1G01990	191	420	342								
AT1G02000	391	494	334								
AT1G02010	68	169	61								
AT1G02020	164	197	191								
AT1G02030	2	8	12								
AT1G02040	0	1	0								
AT1G02050	19	56	36								
AT1G02060	1	0	14								
AT1G02065	3	21	8								
AT1G02070	30	22	11								
AT1G02074	0	0	0								
AT1G02080	109	169	107								
AT1G02090	769	1590	815								
AT1G02100	1900	3136	2276								
AT1G02110	429	972	432								
AT1G02120	743	2820	1501								
AT1G02130	1118	2201	1233								
AT1G02136	0	0	0								
AT1G02140	2468	4508	3341								
AT1G02145	144	481	327								
AT1G02150	2392	6495	4237								
AT1G02160	0	5	2								
AT1G02170	372	466	394								
AT1G02180	111	242	104								
AT1G02190	4	3	1								
AT1G02205	994	2770	1869								
AT1G02210	0	0	0								
AT1G02220	7	94	24								
AT1G02228	0	0	0								
AT1G02230	0	1	0								
AT1G02250	0	0	0								
AT1G02260	56	185	70								
AT1G02270	605	588	438								
AT1G02280	2310	3880	3627								
AT1G02290	66	207	133								
AT1G02300	15	132	24								
AT1G02305	1686	4704	2476								
AT1G02310	15	60	24								
AT1G02320	0	0	0								
AT1G02330	586	1277	835								
AT1G02335	196	306	277								
AT1G02340	2230	2644	1787								
AT1G02350	0	0	0								
AT1G02360	77	474	215								
AT1G02370	56	84	61								
AT1G02380	14	45	22								
AT1G02390	9	14	23								
AT1G02391	0	0	0								
AT1G02400	1524	2236	1762								
AT1G02405	20	13	9								
AT1G02410	262	518	259								
AT1G02420	0	0	0								
AT1G02430	25	81	24								
AT1G02440	0	0	0								
AT1G02450	11	6	7								
AT1G02460	21	64	41								
AT1G02470	4	11	8								
AT1G02475	65	190	131								
AT1G02480	0	0	0								
AT1G02490	0	0	0								
AT1G02500	15733	18259	13886								
AT1G02510	0	0	0								
AT1G02520	0	2	0								
AT1G02530	2	5	0								
AT1G02540	0	0	0								
AT1G02550	0	0	0								
AT1G02560	3121	7545	5879								
AT1G02570	27	42	53								
AT1G02575	13	59	36								
AT1G02580	8	3	0								
AT1G02590	0	0	0								
AT1G02600	0	0	0								
AT1G02610	55	118	42								
AT1G02620	0	0	0								
AT1G02630	18	53	21								
AT1G02640	8996	5570	7062								
AT1G02650	0	3	3								
AT1G02660	542	784	558								
AT1G02670	6	6	3								
AT1G02680	451	1171	596								
AT1G02681	0	0	0								
AT1G02690	179	353	265								
AT1G02700	132	353	322								
AT1G02710	0	0	0								
AT1G02720	274	389	274								
AT1G02730	23	33	41								
AT1G02740	105	123	89								
AT1G02750	175	314	109								
AT1G02760	0	0	0								
AT1G02770	53	100	66								
AT1G02780	23159	52714	28691								
AT1G02790	0	0	0								
AT1G02800	836	1530	1080								
AT1G02810	3333	2610	2463								
AT1G02813	0	0	0								
AT1G02816	1057	2409	1314								
AT1G02820	11	16	24								
AT1G02830	0	0	0								
AT1G02840	18182	22096	14325								
AT1G02850	698	883	424								
AT1G02860	155	372	228								
AT1G02870	613	1452	838								
AT1G02880	495	1100	548								
AT1G02890	534	609	477								
AT1G02900	1714	2365	1504								
AT1G02910	928	1767	1064								
AT1G02920	1892	1187	1377								
AT1G02930	2251	2577	1534								
AT1G02940	0	0	0								
AT1G02950	167	231	139								
AT1G02952	0	0	0								
AT1G02960	117	266	140								
AT1G02965	0	0	0								
AT1G02970	87	214	112								
AT1G02980	3	2	0								
AT1G02990	90	215	165								
AT1G03000	130	572	267								
AT1G03010	44	107	83								
AT1G03020	0	0	0								
AT1G03022	0	0	0								
AT1G03030	119	319	235								
AT1G03040	592	1697	1282								
AT1G03050	0	0	0								
AT1G03055	0	3	0								
AT1G03060	244	266	159								
AT1G03070	72	117	110								
AT1G03080	378	1630	995								
AT1G03090	1482	3046	1929								
AT1G03100	7	22	20								
AT1G03103	2	2	0								
AT1G03106	2375	5594	3752								
AT1G03110	549	782	578								
AT1G03120	3	13	10								
AT1G03130	4405	9206	6516								
AT1G03140	4455	9414	5489								
AT1G03150	976	1009	640								
AT1G03160	175	643	359								
AT1G03170	14	14	13								
AT1G03180	18	77	32								
AT1G03190	398	411	451								
AT1G03200	0	0	0								
AT1G03210	48	285	105								
AT1G03220	1126	1623	1202								
AT1G03230	957	1454	1193								
AT1G03240	0	0	0								
AT1G03250	710	1114	733								
AT1G03260	84	118	58								
AT1G03270	3	28	8								
AT1G03280	588	1020	518								
AT1G03290	529	884	479								
AT1G03300	1	2	11								
AT1G03310	378	1233	711								
AT1G03320	8	12	0								
AT1G03330	2094	3710	1599								
AT1G03340	50	129	44								
AT1G03350	772	491	524								
AT1G03360	158	430	310								
AT1G03365	310	673	350								
AT1G03370	335	688	397								
AT1G03380	531	1031	697								
AT1G03390	0	0	0								
AT1G03400	28	58	31								
AT1G03410	45	98	45								
AT1G03420	1098	1193	1323								
AT1G03430	337	815	361								
AT1G03440	60	139	146								
AT1G03445	9	4	1								
AT1G03457	115	280	102								
AT1G03470	761	875	511								
AT1G03475	439	1954	1199								
AT1G03490	0	0	0								
AT1G03495	0	0	0								
AT1G03502	0	0	0								
AT1G03506	0	0	0								
AT1G03510	1	11	2								
AT1G03515	0	0	0								
AT1G03520	177	335	151								
AT1G03530	256	290	210								
AT1G03540	0	0	0								
AT1G03545	1	1	1								
AT1G03550	27	179	68								
AT1G03560	65	182	108								
AT1G03570	0	0	0								
AT1G03580	18	87	45								
AT1G03590	1114	1968	1040								
AT1G03600	1035	1316	1599								
AT1G03610	1649	3097	1929								
AT1G03620	0	17	14								
AT1G03630	1547	6803	3791								
AT1G03640	0	0	0								
AT1G03650	20	98	45								
AT1G03660	0	0	0								
AT1G03670	0	0	0								
AT1G03680	4027	13546	5443								
AT1G03687	199	247	112								
AT1G03700	1	8	6								
AT1G03710	2	9	3								
AT1G03720	0	0	0								
AT1G03730	260	317	295								
AT1G03740	270	561	291								
AT1G03743	0	0	0								
AT1G03746	0	0	0								
AT1G03750	64	121	69								
AT1G03760	52	163	102								
AT1G03770	2	7	8								
AT1G03780	10	47	32								
AT1G03790	2439	2261	2442								
AT1G03800	0	23	9								
AT1G03810	0	0	0								
AT1G03820	25	47	24								
AT1G03830	44	114	94								
AT1G03840	20	51	76								
AT1G03850	2603	2391	1648								
AT1G03860	1006	2335	1369								
AT1G03870	21155	25707	20160								
AT1G03880	290	689	557								
AT1G03890	5	5	3								
AT1G03900	861	1091	671								
AT1G03905	20	81	35								
AT1G03910	1929	4285	2206								
AT1G03920	86	196	134								
AT1G03930	165	381	160								
AT1G03935	0	0	0								
AT1G03940	0	2	0								
AT1G03950	210	279	210								
AT1G03960	73	213	100								
AT1G03970	390	660	502								
AT1G03980	0	0	0								
AT1G03982	0	0	0								
AT1G03990	0	15	9								
AT1G04000	481	1312	731								
AT1G04010	154	293	256								
AT1G04020	57	102	48								
AT1G04030	94	180	120								
AT1G04040	15274	29167	16003								
AT1G04050	26	64	40								
AT1G04070	680	1126	828								
AT1G04080	825	2374	1210								
AT1G04090	15	18	27								
AT1G04100	67	186	76								
AT1G04110	1	18	6								
AT1G04120	1974	3053	2000								
AT1G04130	309	413	297								
AT1G04140	3760	3436	3499								
AT1G04150	0	0	0								
AT1G04160	0	0	0								
AT1G04170	1956	3171	2525								
AT1G04171	0	0	0								
AT1G04180	0	2	0								
AT1G04190	580	1678	1086								
AT1G04200	56	141	91								
AT1G04210	484	1145	571								
AT1G04220	508	767	379								
AT1G04230	194	254	179								
AT1G04240	6552	6547	3716								
AT1G04250	20837	33460	24459								
AT1G04260	2576	3757	3480								
AT1G04270	13757	29789	14369								
AT1G04280	2142	2864	1510								
AT1G04290	317	686	293								
AT1G04295	22	23	25								
AT1G04300	280	424	441								
AT1G04310	448	1021	778								
AT1G04320	0	0	0								
AT1G04330	18	20	19								
AT1G04340	1987	1888	1614								
AT1G04350	14	60	21								
AT1G04360	74	96	74								
AT1G04370	0	0	0								
AT1G04380	0	6	0								
AT1G04390	65	148	121								
AT1G04400	1374	3049	1858								
AT1G04410	11304	19404	18209								
AT1G04420	2231	6805	3404								
AT1G04425	0	0	0								
AT1G04430	1230	931	1169								
AT1G04440	130	517	274								
AT1G04445	0	0	0								
AT1G04450	0	0	0								
AT1G04457	0	0	0								
AT1G04470	0	1	0								
AT1G04480	6664	7341	5080								
AT1G04490	8	9	16								
AT1G04500	0	1	3								
AT1G04501	0	0	0								
AT1G04510	1045	2282	924								
AT1G04520	962	1071	1254								
AT1G04530	1256	2041	1134								
AT1G04540	0	2	0								
AT1G04550	357	561	362								
AT1G04555	330	645	367								
AT1G04560	882	1905	1536								
AT1G04570	0	5	11								
AT1G04580	2	1	2								
AT1G04590	442	1494	979								
AT1G04600	0	0	0								
AT1G04610	117	88	96								
AT1G04620	208	664	434								
AT1G04625	0	0	0								
AT1G04630	751	1656	870								
AT1G04635	144	259	190								
AT1G04640	825	1061	781								
AT1G04645	0	0	0								
AT1G04650	1	10	8								
AT1G04660	83	104	94								
AT1G04670	1	0	2								
AT1G04680	3624	4555	3471								
AT1G04684	0	0	0								
AT1G04690	1925	2426	2177								
AT1G04700	15	44	21								
AT1G04710	847	1989	1071								
AT1G04720	0	0	0								
AT1G04730	1	23	13								
AT1G04750	3076	8725	4119								
AT1G04760	1	3	0								
AT1G04770	780	2166	1361								
AT1G04778	0	0	0								
AT1G04780	259	342	442								
AT1G04790	248	473	243								
AT1G04800	1671	5504	3438								
AT1G04810	596	945	818								
AT1G04820	18227	32121	22811								
AT1G04830	154	178	164								
AT1G04840	0	0	0								
AT1G04850	2335	4287	3002								
AT1G04860	52	75	65								
AT1G04870	363	327	227								
AT1G04880	1	4	0								
AT1G04890	0	0	0								
AT1G04900	150	365	213								
AT1G04910	81	169	119								
AT1G04920	47	53	72								
AT1G04930	18	39	44								
AT1G04940	1598	3915	1596								
AT1G04945	76	176	133								
AT1G04950	554	935	652								
AT1G04960	271	707	324								
AT1G04970	404	1063	664								
AT1G04980	194	566	376								
AT1G04985	369	689	692								
AT1G04990	215	375	317								
AT1G05000	155	287	176								
AT1G05010	9485	9041	6249								
AT1G05020	44	67	51								
AT1G05030	25	101	65								
AT1G05040	0	0	0								
AT1G05055	389	551	290								
AT1G05060	665	1310	658								
AT1G05061	0	0	0								
AT1G05065	0	0	0								
AT1G05070	82	202	114								
AT1G05080	0	0	0								
AT1G05085	0	0	0								
AT1G05090	0	0	0								
AT1G05100	7	7	2								
AT1G05120	76	276	159								
AT1G05135	1990	2948	2659								
AT1G05136	0	0	0								
AT1G05140	294	725	567								
AT1G05150	1796	2131	1573								
AT1G05160	103	365	99								
AT1G05170	431	1262	745								
AT1G05180	560	1335	711								
