"wt_DARK_rep1" "wt_DARK_rep2" "wt_DARK_rep3" "wt_LIGHT2h_rep1" "wt_LIGHT2h_rep2" "wt_LIGHT2h_rep3" "wt_LIGHT4h_rep1" "wt_LIGHT4h_rep2" "wt_LIGHT4h_rep3" "bdrs_DARK_rep1" "bdrs_DARK_rep2" "bdrs_DARK_rep3" "bdrs_LIGHT2h_rep1" "bdrs_LIGHT2h_rep2" "bdrs_LIGHT2h_rep3" "bdrs_LIGHT4h_rep1" "bdrs_LIGHT4h_rep2" "bdrs_LIGHT4h_rep3"
"AT1G01010" 141 276 262 240 251 277 194 133 142 571 363 416 308 404 269 192 237 130
"AT1G01020" 133 212 207 228 244 211 195 207 192 449 247 242 316 395 268 261 324 170
"AT1G01030" 26 34 31 32 43 37 28 25 20 70 27 23 15 27 22 17 27 20
"AT1G01040" 832 1238 1396 857 915 906 834 701 817 2415 1230 1311 844 1297 820 832 1114 550
"AT1G01046" 10 11 12 10 6 9 7 5 7 18 15 10 8 13 9 12 6 3
"AT1G01050" 347 485 575 367 449 409 450 414 372 1073 512 512 381 541 337 405 543 272
"AT1G01060" 187 317 377 890 916 826 84 89 83 473 281 289 1053 1430 823 74 105 71
"AT1G01070" 81 159 190 137 128 109 82 53 58 252 181 217 120 192 88 93 86 48
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 108 199 181 308 326 331 695 773 729 346 209 204 364 425 254 618 1021 537
"AT1G01090" 1337 1893 2070 1330 1316 1203 1679 1257 1472 4680 2269 2125 1352 1958 1211 1678 1874 994
"AT1G01100" 505 709 774 902 935 870 1057 1025 1102 2134 939 845 1000 1423 922 1083 1583 792
"AT1G01110" 52 67 60 19 27 21 24 17 7 164 83 79 17 30 23 16 14 11
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 2215 3411 3057 7942 7072 7499 3629 3240 3472 6964 4155 3931 8104 13041 7709 4429 5678 3135
"AT1G01130" 17 12 16 9 10 9 8 4 13 14 8 9 10 11 2 3 6 3
"AT1G01140" 588 817 722 1018 1075 1017 737 641 669 1332 773 802 1233 1790 970 650 924 471
"AT1G01150" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"AT1G01160" 316 485 446 447 462 452 491 459 430 844 444 470 454 633 389 419 489 268
"AT1G01170" 459 700 691 420 477 420 633 686 669 1843 959 765 584 675 392 693 1069 540
"AT1G01180" 344 542 519 550 412 465 386 363 394 944 484 487 333 520 326 325 436 233
"AT1G01183" 0 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0
"AT1G01190" 12 29 18 17 19 21 30 25 23 34 17 22 8 19 6 16 30 12
"AT1G01200" 39 65 68 36 19 22 7 11 9 151 78 69 40 57 31 15 30 22
"AT1G01210" 62 97 99 156 144 134 120 107 104 190 130 103 186 241 146 103 163 81
"AT1G01220" 117 184 204 187 199 185 313 260 296 548 292 271 253 336 224 371 457 219
"AT1G01225" 8 27 21 28 28 22 37 23 32 28 16 18 18 40 15 28 31 13
"AT1G01230" 250 420 430 306 272 283 316 280 237 782 491 437 260 438 229 288 308 177
"AT1G01240" 398 516 495 608 551 559 552 495 452 906 481 445 531 757 443 438 514 243
"AT1G01250" 0 0 0 7 0 4 7 8 3 0 0 0 2 7 1 8 6 3
"AT1G01260" 329 513 461 212 232 241 203 217 174 848 464 439 193 273 181 225 277 142
"AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01290" 104 173 205 206 162 161 168 164 140 423 239 221 184 240 194 164 193 78
"AT1G01300" 400 606 685 292 293 254 245 248 236 1666 848 777 265 424 244 269 391 199
"AT1G01305" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01310" 0 2 0 1 0 1 1 0 0 3 1 0 4 2 1 0 1 0
"AT1G01320" 3063 4204 4899 10840 13856 12524 6272 5514 6209 9839 4731 3968 12447 17928 10805 6542 8891 4424
"AT1G01340" 130 174 202 129 127 115 59 45 48 262 132 135 132 175 131 61 72 37
"AT1G01350" 180 243 273 295 321 294 248 265 265 543 313 301 359 462 290 301 390 223
"AT1G01355" 3 4 3 0 4 5 0 4 5 11 4 5 2 3 1 0 0 0
"AT1G01360" 187 342 341 460 514 502 324 280 306 589 354 355 580 700 432 367 398 210
"AT1G01370" 8 24 19 18 18 20 21 21 29 30 22 21 16 34 14 30 29 18
"AT1G01380" 16 25 46 16 4 11 11 7 3 46 32 56 17 8 5 15 12 8
"AT1G01390" 174 308 207 159 197 182 166 125 141 345 181 149 151 150 103 98 144 91
"AT1G01400" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"AT1G01410" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 16 16 24 35 29 28 18 28 32 27 16 16 21 24 18 25 25 14
"AT1G01430" 692 1031 1126 1654 1666 1779 1915 1951 2064 2532 1437 1183 1950 3072 2080 2216 3049 1500
"AT1G01440" 378 577 602 488 586 492 567 461 466 1158 705 659 548 887 590 594 737 352
"AT1G01448" 390 466 583 308 360 319 338 297 321 1153 568 562 366 556 399 389 465 201
"AT1G01450" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01453" 2 6 1 11 9 9 7 0 1 4 3 2 2 20 16 5 5 2
"AT1G01460" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01470" 919 1178 844 4061 3504 3727 1829 1658 1629 1554 820 1113 3047 4458 2715 1568 1797 1157
"AT1G01471" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 39 70 65 56 58 41 62 55 65 97 67 48 47 89 56 83 102 70
"AT1G01490" 1148 1806 1873 1443 1384 1450 1369 1183 1126 2711 1745 1674 1250 1900 1277 1204 1375 713
"AT1G01500" 93 111 152 105 120 111 106 84 95 207 123 138 84 130 93 101 118 49
"AT1G01510" 240 362 387 241 267 247 320 311 292 783 453 329 257 368 241 353 431 244
"AT1G01520" 0 1 2 107 109 111 127 144 133 9 7 9 72 83 59 63 75 53
"AT1G01530" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01540" 632 1003 1039 1160 1283 1301 1690 1653 1646 2508 1411 1169 1475 1945 1255 1537 2113 1008
"AT1G01550" 2101 3081 3284 2847 2726 2834 2590 2264 2494 6609 3902 4144 3216 4419 2739 2842 3663 1963
"AT1G01560" 11 9 5 12 8 9 6 0 2 13 1 7 18 8 4 6 2 3
"AT1G01570" 7 11 19 21 11 9 24 18 20 23 11 15 14 30 13 16 35 11
"AT1G01580" 9 7 8 3 10 12 5 6 5 10 8 10 8 14 5 6 9 4
"AT1G01590" 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0
"AT1G01600" 77 172 130 40 47 53 16 12 18 382 175 198 60 87 57 33 33 16
"AT1G01610" 286 415 433 958 908 819 792 558 581 1104 581 512 919 1705 940 976 1060 594
"AT1G01620" 18797 27765 29226 29341 29114 31162 25319 24812 25846 70631 40710 30863 34318 51243 32226 26959 37824 18859
"AT1G01630" 209 315 310 402 394 342 368 333 379 847 517 422 497 721 423 477 616 294
"AT1G01640" 179 259 315 153 166 164 160 128 152 395 222 222 105 121 87 99 95 71
"AT1G01650" 356 555 576 529 566 549 525 445 428 1256 666 652 620 947 616 525 703 360
"AT1G01660" 0 1 1 0 1 3 0 0 2 5 1 7 0 2 0 1 3 0
"AT1G01670" 2 0 5 4 3 5 2 2 2 9 5 3 3 11 8 8 4 7
"AT1G01680" 0 4 5 9 4 1 4 2 0 6 0 10 33 19 7 2 5 0
"AT1G01690" 33 40 44 30 30 20 46 50 46 91 55 46 41 49 34 47 73 38
"AT1G01695" 1 4 2 2 2 4 2 6 4 18 17 13 12 11 6 14 16 8
"AT1G01700" 1 3 1 2 2 0 1 0 1 5 1 0 1 1 1 0 5 2
"AT1G01710" 390 575 529 542 561 575 512 495 492 1002 488 522 492 686 465 465 587 288
"AT1G01720" 531 749 686 1166 1068 1075 1126 1023 911 1314 699 771 939 1381 834 992 1205 712
"AT1G01725" 110 158 179 97 97 97 105 68 82 311 157 156 100 147 112 88 112 43
"AT1G01730" 306 445 470 273 228 244 227 167 204 941 487 483 217 326 217 212 253 134
"AT1G01740" 33 39 66 38 53 36 58 63 57 215 106 120 82 125 63 104 125 70
"AT1G01750" 1 1 0 1 0 0 0 0 1 3 2 10 0 2 2 2 2 0
"AT1G01760" 34 63 50 29 38 35 63 44 55 119 86 69 32 58 39 65 86 37
"AT1G01770" 603 829 982 392 426 475 555 465 504 1534 839 780 456 687 459 634 792 356
"AT1G01780" 456 685 674 372 417 434 592 486 451 1320 667 713 441 755 456 572 667 363
"AT1G01790" 263 462 456 1456 1856 1570 2332 2105 2402 612 340 298 1200 1573 921 1744 2818 1421
"AT1G01800" 442 660 587 579 467 492 641 578 619 1502 855 724 715 935 641 818 1053 533
"AT1G01810" 3 10 10 5 3 5 6 10 6 16 10 14 4 12 7 8 4 4
"AT1G01820" 771 1186 1191 696 700 679 844 729 752 2147 1189 1249 701 899 541 830 1049 525
"AT1G01830" 137 214 231 367 317 287 227 223 210 596 346 294 397 612 368 260 377 189
"AT1G01840" 3 3 5 5 10 8 11 9 12 8 5 3 5 16 6 8 8 7
"AT1G01860" 89 105 123 152 156 159 230 230 218 230 136 90 154 221 130 241 334 184
"AT1G01870" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01880" 11 17 19 20 22 21 27 26 25 50 25 34 27 39 15 20 48 20
"AT1G01890" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01900" 43 65 73 111 101 90 92 81 95 192 95 100 106 210 100 116 179 82
"AT1G01910" 307 420 484 419 443 424 502 473 485 897 475 462 456 609 385 471 688 332
"AT1G01920" 123 154 172 153 135 129 200 168 204 342 195 160 134 176 107 186 240 139
"AT1G01930" 194 297 324 249 323 271 325 294 275 548 284 294 270 438 261 289 392 199
"AT1G01940" 70 106 88 251 263 282 262 233 181 180 115 102 313 482 265 282 335 184
"AT1G01950" 274 408 431 250 241 219 284 232 214 775 464 444 268 403 246 282 334 178
"AT1G01960" 1181 1622 1843 858 1000 1027 1361 1061 1044 3312 1964 1676 920 1450 898 1267 1552 796
"AT1G01970" 111 184 170 292 368 340 557 536 553 332 186 157 321 400 240 530 771 420
"AT1G01980" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"AT1G01990" 202 256 241 324 324 313 249 288 296 452 246 274 270 380 251 257 303 198
"AT1G02000" 142 185 213 342 370 350 259 227 212 360 210 248 311 522 325 256 320 157
"AT1G02010" 150 251 281 282 336 296 243 235 253 540 287 259 291 320 230 181 241 108
"AT1G02020" 132 193 208 179 212 204 217 164 201 328 162 178 155 217 152 180 252 120
"AT1G02030" 1 11 6 12 15 7 12 13 12 18 10 10 15 20 12 16 13 15
